epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.44914,1.2027,1.66549,1.38954,0.00048,0.01072,0.00037,0.00028,3.57601,5.33499,3.08605,8.33e-06,8.33e-06,8.33e-06
1,572.263,1.112,1.23217,1.27673,0.63394,0.52818,0.56141,0.40527,1.04588,1.0863,1.19835,0.00333288,0.00333288,0.00333288
2,1107.01,1.09481,1.2259,1.26263,0.65563,0.52218,0.56769,0.41258,1.03256,1.06159,1.19249,0.00633624,0.00633624,0.00633624
3,1625.29,1.09691,1.24041,1.2638,0.66994,0.52295,0.57531,0.41836,1.02831,1.0516,1.19375,0.00900959,0.00900959,0.00900959
4,2138.26,1.09454,1.24209,1.26303,0.67528,0.52432,0.57721,0.42126,1.02745,1.03811,1.19084,0.008515,0.008515,0.008515
5,2651.22,1.08311,1.2211,1.25513,0.67677,0.52837,0.58179,0.42515,1.02049,1.0315,1.18468,0.00802,0.00802,0.00802
6,3163.26,1.07687,1.20558,1.24851,0.66162,0.534,0.58282,0.42619,1.01798,1.02764,1.18206,0.007525,0.007525,0.007525
7,3675.31,1.07164,1.19485,1.24619,0.6749,0.53251,0.58413,0.42706,1.01694,1.02437,1.18025,0.00703,0.00703,0.00703
8,4187.98,1.06711,1.18781,1.24227,0.67267,0.53392,0.58457,0.42686,1.01565,1.023,1.17928,0.006535,0.006535,0.006535
9,4700.3,1.06345,1.18114,1.2406,0.6761,0.5326,0.58476,0.42716,1.01432,1.02262,1.1779,0.00604,0.00604,0.00604
10,5212.77,1.0599,1.1718,1.24159,0.68154,0.52902,0.58503,0.42756,1.01378,1.02234,1.17791,0.005545,0.005545,0.005545
11,5722.57,1.02976,1.07807,1.20657,0.68121,0.52879,0.58571,0.42807,1.01212,1.02234,1.17668,0.00505,0.00505,0.00505
12,6231.14,1.02076,1.05735,1.20287,0.68283,0.529,0.58629,0.42861,1.01029,1.02092,1.17541,0.004555,0.004555,0.004555
13,6738.27,1.01706,1.04767,1.19841,0.68132,0.53017,0.58671,0.42939,1.00837,1.0193,1.17424,0.00406,0.00406,0.00406
14,7244.66,1.01386,1.0362,1.19693,0.68408,0.53368,0.5878,0.43033,1.00677,1.01739,1.17286,0.003565,0.003565,0.003565
15,7751.76,1.00967,1.02746,1.19484,0.68809,0.53137,0.58863,0.43066,1.00555,1.01644,1.17203,0.00307,0.00307,0.00307
16,8258.54,1.00615,1.01649,1.1898,0.69275,0.5293,0.58871,0.43104,1.00553,1.01553,1.17186,0.002575,0.002575,0.002575
17,8766.16,1.00199,1.00763,1.1891,0.69398,0.53051,0.58912,0.43142,1.0051,1.0148,1.17163,0.00208,0.00208,0.00208
18,9273.96,0.99937,1.00023,1.18584,0.69953,0.52723,0.5896,0.43205,1.00443,1.01364,1.17085,0.001585,0.001585,0.001585
19,9780.69,0.99391,0.99074,1.18402,0.70423,0.52386,0.58982,0.43237,1.00396,1.01354,1.17029,0.00109,0.00109,0.00109
20,10288.1,0.99108,0.98065,1.1815,0.69765,0.52726,0.59009,0.43221,1.004,1.01344,1.17004,0.000595,0.000595,0.000595
