epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9603,2.58818,3.04959,2.50379,0.01409,0.00274,0.00822,0.00329,7.08724,11.0063,5.34838,8.33e-06,8.33e-06,8.33e-06
1,11.7044,1.97203,3.99797,2.78361,0,0,0,0,7.00962,10.9599,5.49239,0,0,0
1,516.368,2.40239,2.4614,2.34763,0.65199,0.53382,0.57672,0.4116,2.34825,2.41101,2.25504,0.00333288,0.00333288,0.00333288
2,1007.29,2.40903,2.4679,2.33576,0.67062,0.53213,0.58432,0.42076,2.31112,2.36553,2.24217,0.00633624,0.00633624,0.00633624
3,1489.66,2.41183,2.47475,2.33413,0.66416,0.53632,0.58599,0.42158,2.29352,2.3561,2.23701,0.00900959,0.00900959,0.00900959
4,1969.36,2.39555,2.46235,2.3299,0.66168,0.53814,0.58948,0.42508,2.28712,2.34401,2.23373,0.008515,0.008515,0.008515
5,2449.48,2.36787,2.41942,2.31248,0.6786,0.53449,0.59299,0.42762,2.28074,2.32446,2.22518,0.00802,0.00802,0.00802
6,2930.53,2.35403,2.39651,2.30261,0.67178,0.53999,0.59306,0.42885,2.2764,2.31729,2.22067,0.007525,0.007525,0.007525
7,3415.41,2.34251,2.38287,2.29685,0.67377,0.53951,0.59437,0.43022,2.27054,2.31465,2.21783,0.00703,0.00703,0.00703
8,3894.8,2.33096,2.36776,2.28964,0.65896,0.54982,0.59528,0.4308,2.26908,2.31263,2.21614,0.006535,0.006535,0.006535
9,4374.01,2.32378,2.3602,2.28609,0.67331,0.5422,0.59578,0.43137,2.26778,2.30867,2.21503,0.00604,0.00604,0.00604
10,4853.62,2.31467,2.34801,2.28218,0.66744,0.54779,0.59634,0.4315,2.26671,2.30532,2.21385,0.005545,0.005545,0.005545
11,5325.41,2.21998,2.07237,2.2065,0.66301,0.55126,0.59608,0.43184,2.26274,2.30208,2.21172,0.00505,0.00505,0.00505
12,5796.48,2.20787,2.04244,2.20316,0.66941,0.54803,0.59665,0.43262,2.25996,2.29979,2.21097,0.004555,0.004555,0.004555
13,6267.85,2.20027,2.02803,2.19704,0.6789,0.54308,0.59684,0.4328,2.25796,2.29776,2.20936,0.00406,0.00406,0.00406
14,6738.78,2.19214,2.01191,2.19411,0.67591,0.54457,0.59696,0.43276,2.25554,2.29834,2.20754,0.003565,0.003565,0.003565
15,7209.82,2.18405,1.99957,2.18924,0.67117,0.54755,0.5973,0.43309,2.25365,2.29728,2.20627,0.00307,0.00307,0.00307
16,7681.33,2.1762,1.98539,2.18378,0.6772,0.54448,0.59802,0.43354,2.25181,2.29626,2.20529,0.002575,0.002575,0.002575
17,8152.16,2.16814,1.97327,2.18154,0.67774,0.54463,0.5983,0.43384,2.25,2.29572,2.20419,0.00208,0.00208,0.00208
18,8623.66,2.16428,1.96275,2.17713,0.67126,0.54862,0.59848,0.43423,2.24886,2.29505,2.20374,0.001585,0.001585,0.001585
19,9094.45,2.15187,1.9491,2.17183,0.67409,0.54967,0.59985,0.43513,2.24839,2.29365,2.20241,0.00109,0.00109,0.00109
20,9565.42,2.14626,1.9361,2.16924,0.67347,0.54781,0.59939,0.43493,2.24796,2.29473,2.20158,0.000595,0.000595,0.000595
