epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4079,2.4086,2.84094,2.50091,0.00054,0.00394,0.00048,0.0002,6.83772,9.25285,5.48309,8.33e-06,8.33e-06,8.33e-06
1,11.9462,2.12904,3.93814,2.98751,0,0,0,0,7.00878,9.43181,5.90191,0,0,0
1,762.743,2.23713,2.1932,2.38385,0.68575,0.5769,0.6279,0.4577,2.15939,2.15647,2.27245,0.00333288,0.00333288,0.00333288
2,1493.21,2.22911,2.19166,2.36498,0.69491,0.58119,0.63567,0.46899,2.12049,2.10453,2.26008,0.00633624,0.00633624,0.00633624
3,2213.63,2.22166,2.18972,2.35864,0.70054,0.58535,0.63903,0.4736,2.11126,2.0907,2.26095,0.00900959,0.00900959,0.00900959
4,2928.61,2.20134,2.17403,2.3495,0.69777,0.59051,0.64348,0.47764,2.10311,2.06711,2.25573,0.008515,0.008515,0.008515
5,3643.71,2.17637,2.13831,2.33281,0.70401,0.58701,0.64577,0.47957,2.09027,2.05616,2.24438,0.00802,0.00802,0.00802
6,4358.58,2.16291,2.11693,2.32356,0.70527,0.58806,0.64665,0.48085,2.08761,2.04772,2.24097,0.007525,0.007525,0.007525
7,5076.58,2.15201,2.10572,2.31603,0.70615,0.58931,0.64738,0.48219,2.08328,2.04489,2.23695,0.00703,0.00703,0.00703
8,5790.28,2.14201,2.08897,2.30656,0.71158,0.58701,0.64968,0.48381,2.0814,2.04042,2.23401,0.006535,0.006535,0.006535
9,6504.09,2.13374,2.08301,2.30007,0.71152,0.58928,0.64992,0.48428,2.07962,2.0388,2.23179,0.00604,0.00604,0.00604
10,7217.68,2.12731,2.06835,2.29868,0.70577,0.59246,0.65014,0.48434,2.07746,2.03716,2.23019,0.005545,0.005545,0.005545
11,7923.62,2.03025,1.81273,2.21107,0.70921,0.59139,0.65113,0.48538,2.0739,2.03807,2.22849,0.00505,0.00505,0.00505
12,8631.45,2.0199,1.79133,2.20648,0.71087,0.59183,0.65125,0.48595,2.07038,2.03675,2.22677,0.004555,0.004555,0.004555
13,9339.58,2.01521,1.77949,2.20105,0.70618,0.59356,0.6518,0.48657,2.06832,2.03612,2.22481,0.00406,0.00406,0.00406
14,10048.6,2.00749,1.76568,2.19679,0.71206,0.59128,0.65198,0.48648,2.06679,2.03492,2.22283,0.003565,0.003565,0.003565
15,10752.8,1.99944,1.75194,2.19187,0.71977,0.58946,0.65293,0.4873,2.06544,2.03447,2.22091,0.00307,0.00307,0.00307
16,11457.4,1.99403,1.7402,2.18696,0.71732,0.59105,0.65273,0.48757,2.06308,2.03399,2.2197,0.002575,0.002575,0.002575
17,12162.2,1.98638,1.72687,2.18564,0.71367,0.59142,0.65295,0.48786,2.06229,2.03187,2.21846,0.00208,0.00208,0.00208
18,12866.6,1.98175,1.71384,2.18032,0.71115,0.59298,0.65352,0.48834,2.06155,2.03135,2.21737,0.001585,0.001585,0.001585
19,13571.7,1.97083,1.70297,2.17766,0.71623,0.59221,0.65402,0.48866,2.06188,2.02915,2.21622,0.00109,0.00109,0.00109
20,14277.7,1.96493,1.69034,2.17287,0.71648,0.59212,0.65426,0.4889,2.0616,2.02923,2.21512,0.000595,0.000595,0.000595
