epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13969,1.14045,1.50468,1.30262,0,0,0,0,3.96439,5.4866,3.11976,8.33e-06,8.33e-06,8.33e-06
1,2.71292,1.23022,2.44262,1.71337,0,0,0,0,3.78436,6.22735,2.97968,0,0,0
1,632.476,1.01953,1.03458,1.17352,0.68111,0.58303,0.62138,0.45107,0.98677,0.98601,1.10756,0.00333288,0.00333288,0.00333288
2,1251.32,1.00492,1.02947,1.15394,0.69849,0.58049,0.63469,0.46533,0.9713,0.9582,1.10116,0.00633624,0.00633624,0.00633624
3,1865.81,1.0028,1.02989,1.15342,0.69699,0.58937,0.63829,0.47054,0.9657,0.94783,1.10117,0.00900959,0.00900959,0.00900959
4,2475.24,0.99386,1.02043,1.14836,0.68751,0.59841,0.6417,0.47311,0.96129,0.93759,1.09526,0.008515,0.008515,0.008515
5,3085.33,0.98158,0.99728,1.14059,0.7076,0.58732,0.64404,0.47566,0.95865,0.92981,1.09153,0.00802,0.00802,0.00802
6,3694.96,0.97486,0.98548,1.13551,0.70107,0.59775,0.64662,0.47754,0.95747,0.92666,1.08965,0.007525,0.007525,0.007525
7,4306.53,0.96954,0.97615,1.13176,0.70729,0.58926,0.64595,0.47762,0.9557,0.9246,1.08767,0.00703,0.00703,0.00703
8,4918.12,0.96611,0.96863,1.12898,0.69996,0.59348,0.64642,0.47822,0.95482,0.92344,1.08655,0.006535,0.006535,0.006535
9,5529.63,0.96245,0.96369,1.12602,0.69674,0.59564,0.64684,0.47879,0.95392,0.92251,1.08568,0.00604,0.00604,0.00604
10,6145.67,0.95869,0.95738,1.12555,0.70404,0.59819,0.6475,0.47952,0.9531,0.92148,1.08532,0.005545,0.005545,0.005545
11,6754,0.92272,0.86775,1.08519,0.71248,0.59451,0.64749,0.4797,0.95136,0.92055,1.084,0.00505,0.00505,0.00505
12,7361.95,0.91787,0.85545,1.08349,0.7093,0.59466,0.64759,0.47987,0.94945,0.91955,1.08255,0.004555,0.004555,0.004555
13,7969.96,0.91541,0.84654,1.0811,0.71061,0.58925,0.64668,0.48022,0.94832,0.91907,1.08181,0.00406,0.00406,0.00406
14,8578.29,0.91205,0.83965,1.07934,0.70826,0.59298,0.64714,0.48086,0.94745,0.91813,1.08102,0.003565,0.003565,0.003565
15,9188.06,0.90903,0.83242,1.07822,0.70063,0.59661,0.64751,0.48126,0.94627,0.91778,1.08012,0.00307,0.00307,0.00307
16,9797.95,0.90542,0.82435,1.07539,0.69751,0.59854,0.64733,0.48093,0.94562,0.91694,1.07958,0.002575,0.002575,0.002575
17,10405.5,0.90343,0.81762,1.07504,0.69569,0.60014,0.64743,0.48096,0.94485,0.91703,1.07889,0.00208,0.00208,0.00208
18,11013.1,0.90058,0.8117,1.07257,0.69621,0.59931,0.6476,0.48111,0.94435,0.91671,1.07834,0.001585,0.001585,0.001585
19,11620.8,0.89649,0.80384,1.07144,0.69122,0.60204,0.64773,0.48108,0.94385,0.9163,1.07761,0.00109,0.00109,0.00109
20,12228.5,0.8936,0.79537,1.06955,0.69656,0.59749,0.64776,0.48119,0.94344,0.91584,1.07727,0.000595,0.000595,0.000595
