epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00338,1.57263,2.77388,1.50449,1e-05,0.00122,0,0,3.73002,5.27563,2.80374,8.33e-06,8.33e-06,8.33e-06
1,2.93891,1.381,3.94164,1.68244,0.00014,0.01667,0.00011,3e-05,3.78977,6.08354,2.80763,0,0,0
1,290.428,1.35037,1.72479,1.32529,0.55338,0.41039,0.42837,0.28349,1.29507,1.47256,1.25466,0.00333288,0.00333288,0.00333288
2,568.214,1.33667,1.68961,1.31308,0.5727,0.40827,0.44051,0.29391,1.27888,1.44959,1.25005,0.00633624,0.00633624,0.00633624
3,840.619,1.34825,1.71578,1.32053,0.57188,0.4078,0.43899,0.29442,1.27131,1.4383,1.24445,0.00900959,0.00900959,0.00900959
4,1110.51,1.34769,1.72619,1.32123,0.56442,0.42009,0.44483,0.2996,1.26629,1.43042,1.24082,0.008515,0.008515,0.008515
5,1381.08,1.33407,1.69586,1.31243,0.584,0.41124,0.44754,0.30235,1.26093,1.41898,1.23579,0.00802,0.00802,0.00802
6,1651.66,1.32467,1.67786,1.306,0.57255,0.42169,0.44987,0.30407,1.25726,1.41238,1.2333,0.007525,0.007525,0.007525
7,1922.19,1.31725,1.665,1.30232,0.57409,0.41974,0.45106,0.30541,1.25565,1.40919,1.23134,0.00703,0.00703,0.00703
8,2192.78,1.31163,1.6536,1.29849,0.57213,0.42271,0.45187,0.30574,1.25392,1.40669,1.2302,0.006535,0.006535,0.006535
9,2463.01,1.3071,1.6448,1.29521,0.5741,0.4241,0.4523,0.30622,1.25303,1.40385,1.22922,0.00604,0.00604,0.00604
10,2733.17,1.30112,1.63362,1.29326,0.5768,0.42388,0.45312,0.30678,1.25191,1.40237,1.22869,0.005545,0.005545,0.005545
11,2998.51,1.2995,1.55371,1.28723,0.57663,0.42324,0.45364,0.30748,1.24973,1.39847,1.22662,0.00505,0.00505,0.00505
12,3263.34,1.29231,1.53602,1.28302,0.57968,0.42097,0.45455,0.30791,1.2482,1.39555,1.22529,0.004555,0.004555,0.004555
13,3529.2,1.28677,1.52176,1.27843,0.58098,0.42178,0.45604,0.30916,1.24643,1.39243,1.22417,0.00406,0.00406,0.00406
14,3794.57,1.28167,1.51144,1.27552,0.57874,0.42441,0.45617,0.30979,1.24479,1.38965,1.22323,0.003565,0.003565,0.003565
15,4060.35,1.27645,1.49955,1.27283,0.57912,0.42399,0.45684,0.31049,1.24299,1.38744,1.22184,0.00307,0.00307,0.00307
16,4328.61,1.27244,1.48896,1.26963,0.58552,0.42155,0.45791,0.31144,1.24247,1.38563,1.22104,0.002575,0.002575,0.002575
17,4592.82,1.26847,1.47646,1.26706,0.58695,0.42243,0.4587,0.31196,1.24194,1.38296,1.22068,0.00208,0.00208,0.00208
18,4857.37,1.26364,1.46821,1.26436,0.58213,0.42429,0.45908,0.31242,1.24133,1.38132,1.22011,0.001585,0.001585,0.001585
19,5121.67,1.25702,1.45439,1.26049,0.58167,0.42966,0.46022,0.31274,1.24067,1.38016,1.21952,0.00109,0.00109,0.00109
20,5386.37,1.25334,1.4443,1.25828,0.58031,0.43038,0.46083,0.31312,1.24041,1.37939,1.21914,0.000595,0.000595,0.000595
