epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8689,2.99455,4.47446,2.70071,0.00071,0.00274,0.00059,6e-05,6.85478,10.0205,5.16332,8.33e-06,8.33e-06,8.33e-06
1,11.6835,2.32884,5.57552,3.08315,0,0,0,0,6.91912,11.0573,5.26657,0,0,0
1,11.2444,2.32884,5.57552,3.08315,0,0,0,0,6.91912,11.0573,5.26657,0,0,0
1,11.335,2.32884,5.57552,3.08315,0,0,0,0,6.91912,11.0573,5.26657,0,0,0
1,401.983,2.76197,3.38373,2.54438,0.59497,0.43812,0.47246,0.32484,2.62425,2.94538,2.40969,0.00333288,0.00333288,0.00333288
2,778.544,2.74569,3.30708,2.5283,0.60767,0.44501,0.48178,0.33479,2.58337,2.87916,2.38765,0.00633624,0.00633624,0.00633624
3,1150.84,2.75504,3.31804,2.53246,0.61905,0.44285,0.48712,0.33956,2.55685,2.85215,2.37868,0.00900959,0.00900959,0.00900959
4,1515.63,2.74505,3.31962,2.53134,0.60623,0.4545,0.48951,0.34297,2.54718,2.83307,2.37188,0.008515,0.008515,0.008515
5,1881.41,2.71824,3.27682,2.51461,0.61131,0.4531,0.4935,0.34638,2.53917,2.81801,2.3616,0.00802,0.00802,0.00802
6,2245.02,2.70267,3.25095,2.50065,0.6248,0.448,0.49368,0.34722,2.53372,2.81205,2.35757,0.007525,0.007525,0.007525
7,2607.92,2.69102,3.23264,2.49714,0.62116,0.45285,0.49479,0.34839,2.52909,2.80721,2.35412,0.00703,0.00703,0.00703
8,2971.65,2.67932,3.21621,2.48819,0.62571,0.44957,0.49504,0.34861,2.52658,2.80538,2.35151,0.006535,0.006535,0.006535
9,3335.03,2.66908,3.20434,2.48236,0.62564,0.44964,0.49567,0.34921,2.52373,2.80383,2.34949,0.00604,0.00604,0.00604
10,3697.46,2.66115,3.18405,2.47966,0.61938,0.45403,0.49644,0.34971,2.52081,2.80238,2.34723,0.005545,0.005545,0.005545
11,4051.94,2.59348,2.90865,2.43236,0.62281,0.45195,0.49732,0.35086,2.51767,2.79545,2.3458,0.00505,0.00505,0.00505
12,4405.97,2.57974,2.87767,2.42516,0.62334,0.45368,0.49839,0.35171,2.51258,2.79025,2.34276,0.004555,0.004555,0.004555
13,4760.94,2.56983,2.85376,2.41698,0.62871,0.45196,0.49922,0.35268,2.51006,2.78439,2.34133,0.00406,0.00406,0.00406
14,5115.35,2.56469,2.8311,2.41406,0.62058,0.45656,0.49941,0.35316,2.50696,2.7794,2.33946,0.003565,0.003565,0.003565
15,5469.28,2.55389,2.81618,2.41101,0.62386,0.45842,0.50046,0.35387,2.50568,2.77471,2.33948,0.00307,0.00307,0.00307
16,5823.13,2.54616,2.79843,2.40371,0.62707,0.45701,0.50151,0.35448,2.5038,2.77111,2.33818,0.002575,0.002575,0.002575
17,6177.37,2.53637,2.77977,2.39844,0.6258,0.46185,0.50316,0.35528,2.50222,2.76586,2.337,0.00208,0.00208,0.00208
18,6531.3,2.53164,2.76819,2.39474,0.62382,0.46391,0.50378,0.35588,2.50195,2.7618,2.33633,0.001585,0.001585,0.001585
19,6885.14,2.51748,2.75012,2.38747,0.62249,0.46712,0.50466,0.35655,2.50133,2.75961,2.33543,0.00109,0.00109,0.00109
20,7238.16,2.50803,2.7344,2.38208,0.62378,0.46783,0.50541,0.35703,2.50178,2.75728,2.33477,0.000595,0.000595,0.000595
