epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3924,2.30434,2.81515,2.52021,1e-05,0.00105,0,0,6.75088,10.1628,5.74391,8.33e-06,8.33e-06,8.33e-06
1,12.0565,1.83284,3.63431,2.72952,0,0,0,0,7.22579,10.1696,5.86359,0,0,0
1,1061.56,2.16442,2.10493,2.40896,0.70017,0.59772,0.65299,0.4807,2.06779,2.02426,2.29149,0.00333288,0.00333288,0.00333288
2,2085.33,2.15595,2.10397,2.38606,0.69303,0.61217,0.6573,0.48855,2.03838,1.9917,2.27398,0.00633624,0.00633624,0.00633624
3,3094.13,2.14359,2.10647,2.37269,0.71165,0.60392,0.66226,0.49415,2.02372,1.97445,2.27476,0.00900959,0.00900959,0.00900959
4,4099.22,2.12657,2.09146,2.36579,0.70355,0.61641,0.66509,0.49874,2.0102,1.95331,2.26712,0.008515,0.008515,0.008515
5,5103.74,2.10053,2.05456,2.34827,0.71474,0.61223,0.66722,0.50111,2.00198,1.94074,2.25745,0.00802,0.00802,0.00802
6,6107.61,2.08667,2.03349,2.33645,0.71946,0.61327,0.66987,0.50364,1.99581,1.92894,2.25179,0.007525,0.007525,0.007525
7,7110.53,2.07456,2.01538,2.32697,0.71746,0.61583,0.67086,0.50492,1.99364,1.92353,2.24845,0.00703,0.00703,0.00703
8,8114.35,2.06399,2.00383,2.32083,0.712,0.61947,0.67042,0.50467,1.9908,1.92385,2.24675,0.006535,0.006535,0.006535
9,9117.33,2.05609,1.99521,2.32058,0.71855,0.6171,0.67113,0.50476,1.98883,1.92331,2.24581,0.00604,0.00604,0.00604
10,10120.6,2.04943,1.97767,2.31672,0.72034,0.61577,0.67166,0.50519,1.98846,1.92004,2.24527,0.005545,0.005545,0.005545
11,11120.4,1.95662,1.74035,2.2268,0.72775,0.61124,0.67177,0.50626,1.98459,1.92081,2.24287,0.00505,0.00505,0.00505
12,12121.4,1.94726,1.71762,2.22059,0.72063,0.61724,0.67284,0.50691,1.98272,1.91998,2.24122,0.004555,0.004555,0.004555
13,13116.7,1.93868,1.69752,2.21004,0.72074,0.6196,0.6734,0.50746,1.98161,1.91736,2.23924,0.00406,0.00406,0.00406
14,14111,1.93064,1.68428,2.2068,0.72331,0.62105,0.67479,0.5084,1.98036,1.91567,2.23702,0.003565,0.003565,0.003565
15,15105.5,1.92518,1.67338,2.20567,0.72073,0.62374,0.67588,0.50911,1.98079,1.913,2.23723,0.00307,0.00307,0.00307
16,16099.7,1.91665,1.66075,2.19812,0.7255,0.62158,0.67662,0.50966,1.97989,1.91418,2.23612,0.002575,0.002575,0.002575
17,17096,1.91029,1.64443,2.19553,0.72366,0.62413,0.67718,0.51011,1.97954,1.91202,2.23492,0.00208,0.00208,0.00208
18,18091.6,1.90393,1.63544,2.19256,0.71943,0.62754,0.6777,0.5105,1.9779,1.91152,2.2337,0.001585,0.001585,0.001585
19,19088.7,1.89269,1.62095,2.18951,0.72137,0.6278,0.67827,0.5111,1.97774,1.9107,2.23316,0.00109,0.00109,0.00109
20,20084.8,1.88875,1.60854,2.18598,0.72948,0.62224,0.67863,0.5115,1.97671,1.91104,2.23182,0.000595,0.000595,0.000595
