epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.76982,1.0657,1.37977,1.26468,0,0,0,0,3.90166,5.24304,3.15718,8.33e-06,8.33e-06,8.33e-06
1,3.05189,1.09097,2.4097,1.50233,0,0,0,0,3.82796,5.03045,3.09281,0,0,0
1,914.567,0.96435,0.94123,1.16291,0.70501,0.60425,0.65178,0.48127,0.94443,0.91596,1.11391,0.00333288,0.00333288,0.00333288
2,1815.21,0.94219,0.92428,1.13982,0.71129,0.61452,0.66463,0.49599,0.92588,0.88927,1.10382,0.00633624,0.00633624,0.00633624
3,2714.15,0.93692,0.91864,1.13817,0.72952,0.60907,0.66918,0.50074,0.92044,0.87814,1.10247,0.00900959,0.00900959,0.00900959
4,3600.22,0.92817,0.90647,1.1345,0.71287,0.61884,0.67115,0.50372,0.91503,0.86812,1.09819,0.008515,0.008515,0.008515
5,4486.37,0.91625,0.88595,1.12901,0.71519,0.61875,0.67206,0.50589,0.91055,0.86211,1.09457,0.00802,0.00802,0.00802
6,5375.06,0.91023,0.8735,1.12392,0.71814,0.62038,0.67283,0.50641,0.9081,0.86058,1.09254,0.007525,0.007525,0.007525
7,6261.36,0.9062,0.86591,1.11976,0.71552,0.62237,0.67322,0.50687,0.90767,0.85791,1.09082,0.00703,0.00703,0.00703
8,7156.38,0.9021,0.85756,1.1165,0.71307,0.6248,0.67318,0.50681,0.90693,0.85658,1.08947,0.006535,0.006535,0.006535
9,8042.1,0.89936,0.85316,1.11486,0.70735,0.62789,0.67412,0.50782,0.90602,0.85589,1.08822,0.00604,0.00604,0.00604
10,8927.37,0.89679,0.84723,1.11441,0.71407,0.62442,0.67456,0.50843,0.90531,0.85526,1.08769,0.005545,0.005545,0.005545
11,9810.38,0.85783,0.75607,1.07025,0.71594,0.62334,0.67476,0.50901,0.90369,0.85468,1.08683,0.00505,0.00505,0.00505
12,10700.4,0.85454,0.74537,1.06846,0.71302,0.62613,0.67556,0.50979,0.9026,0.85378,1.08577,0.004555,0.004555,0.004555
13,11582.4,0.85137,0.73906,1.06524,0.71711,0.62496,0.67552,0.50976,0.9018,0.85397,1.08489,0.00406,0.00406,0.00406
14,12464.3,0.84749,0.7306,1.06267,0.71424,0.62743,0.67612,0.5102,0.90099,0.85348,1.08392,0.003565,0.003565,0.003565
15,13347.3,0.84501,0.72293,1.0625,0.7128,0.62898,0.67627,0.51016,0.90098,0.85338,1.08389,0.00307,0.00307,0.00307
16,14230.9,0.84226,0.71705,1.05929,0.71233,0.6307,0.67641,0.51031,0.90074,0.8534,1.0834,0.002575,0.002575,0.002575
17,15113.2,0.84066,0.70961,1.0597,0.71178,0.63155,0.67702,0.51076,0.90041,0.85325,1.08316,0.00208,0.00208,0.00208
18,15998.1,0.83765,0.70332,1.05629,0.71287,0.63001,0.6769,0.51096,0.90028,0.85244,1.08268,0.001585,0.001585,0.001585
19,16885.6,0.83342,0.69474,1.05482,0.71451,0.62776,0.67771,0.51152,0.90014,0.85254,1.08249,0.00109,0.00109,0.00109
20,17768.1,0.8308,0.68817,1.05237,0.7165,0.62627,0.67774,0.5115,0.9002,0.85238,1.08216,0.000595,0.000595,0.000595
